source_file|budget_document_year|category_code|category_name|item_code|item_description|period_year|amount_kwacha
MAZABUKA-MUNICIPAL-COUNCIL-2026-BUDGET.pdf|2026|02|Fees and Charges|014|Parking fees|2028|136739
MAZABUKA-MUNICIPAL-COUNCIL-2026-BUDGET.pdf|2026|02|Fees and Charges|016|Loading fees (buses, trucks, trains, taxies etc.)|2026|50000
MAZABUKA-MUNICIPAL-COUNCIL-2026-BUDGET.pdf|2026|02|Fees and Charges|016|Loading fees (buses, trucks, trains, taxies etc.)|2027|53000
MAZABUKA-MUNICIPAL-COUNCIL-2026-BUDGET.pdf|2026|02|Fees and Charges|016|Loading fees (buses, trucks, trains, taxies etc.)|2028|56710
MAZABUKA-MUNICIPAL-COUNCIL-2026-BUDGET.pdf|2026|02|Fees and Charges|017|Affidavit fees|2026|3000
MAZABUKA-MUNICIPAL-COUNCIL-2026-BUDGET.pdf|2026|02|Fees and Charges|017|Affidavit fees|2027|3180
MAZABUKA-MUNICIPAL-COUNCIL-2026-BUDGET.pdf|2026|02|Fees and Charges|017|Affidavit fees|2028|3403
MAZABUKA-MUNICIPAL-COUNCIL-2026-BUDGET.pdf|2026|02|Fees and Charges|020|Hire of halls|2026|40000
MAZABUKA-MUNICIPAL-COUNCIL-2026-BUDGET.pdf|2026|02|Fees and Charges|020|Hire of halls|2027|42400
MAZABUKA-MUNICIPAL-COUNCIL-2026-BUDGET.pdf|2026|02|Fees and Charges|020|Hire of halls|2028|45368
MAZABUKA-MUNICIPAL-COUNCIL-2026-BUDGET.pdf|2026|02|Fees and Charges|033|Refuse disposal|2026|573150
MAZABUKA-MUNICIPAL-COUNCIL-2026-BUDGET.pdf|2026|02|Fees and Charges|033|Refuse disposal|2027|607539
MAZABUKA-MUNICIPAL-COUNCIL-2026-BUDGET.pdf|2026|02|Fees and Charges|033|Refuse disposal|2028|650067
MAZABUKA-MUNICIPAL-COUNCIL-2026-BUDGET.pdf|2026|02|Fees and Charges|034|Home craft registration fee / club membership|2026|25000
MAZABUKA-MUNICIPAL-COUNCIL-2026-BUDGET.pdf|2026|02|Fees and Charges|034|Home craft registration fee / club membership|2027|26500
MAZABUKA-MUNICIPAL-COUNCIL-2026-BUDGET.pdf|2026|02|Fees and Charges|034|Home craft registration fee / club membership|2028|28355
MAZABUKA-MUNICIPAL-COUNCIL-2026-BUDGET.pdf|2026|02|Fees and Charges|035|Commercial & non-commercial Exhibitions|2026|5000
MAZABUKA-MUNICIPAL-COUNCIL-2026-BUDGET.pdf|2026|02|Fees and Charges|035|Commercial & non-commercial Exhibitions|2027|5300
MAZABUKA-MUNICIPAL-COUNCIL-2026-BUDGET.pdf|2026|02|Fees and Charges|035|Commercial & non-commercial Exhibitions|2028|5671
MAZABUKA-MUNICIPAL-COUNCIL-2026-BUDGET.pdf|2026|02|Fees and Charges|038|Library membership fees|2026|750
MAZABUKA-MUNICIPAL-COUNCIL-2026-BUDGET.pdf|2026|02|Fees and Charges|038|Library membership fees|2027|795
MAZABUKA-MUNICIPAL-COUNCIL-2026-BUDGET.pdf|2026|02|Fees and Charges|038|Library membership fees|2028|851
MAZABUKA-MUNICIPAL-COUNCIL-2026-BUDGET.pdf|2026|02|Fees and Charges|045|Notice of marriage fees|2026|65000
MAZABUKA-MUNICIPAL-COUNCIL-2026-BUDGET.pdf|2026|02|Fees and Charges|045|Notice of marriage fees|2027|68900
MAZABUKA-MUNICIPAL-COUNCIL-2026-BUDGET.pdf|2026|02|Fees and Charges|045|Notice of marriage fees|2028|73723
MAZABUKA-MUNICIPAL-COUNCIL-2026-BUDGET.pdf|2026|02|Fees and Charges|046|Abattoir/meat inspection fees|2026|101400
MAZABUKA-MUNICIPAL-COUNCIL-2026-BUDGET.pdf|2026|02|Fees and Charges|046|Abattoir/meat inspection fees|2027|107484
MAZABUKA-MUNICIPAL-COUNCIL-2026-BUDGET.pdf|2026|02|Fees and Charges|046|Abattoir/meat inspection fees|2028|115008
MAZABUKA-MUNICIPAL-COUNCIL-2026-BUDGET.pdf|2026|02|Fees and Charges|047|Registration of clubs and societies|2026|15000
MAZABUKA-MUNICIPAL-COUNCIL-2026-BUDGET.pdf|2026|02|Fees and Charges|047|Registration of clubs and societies|2027|15900
MAZABUKA-MUNICIPAL-COUNCIL-2026-BUDGET.pdf|2026|02|Fees and Charges|047|Registration of clubs and societies|2028|17013
MAZABUKA-MUNICIPAL-COUNCIL-2026-BUDGET.pdf|2026|02|Fees and Charges|051|Farm produce Fee|2026|267861
MAZABUKA-MUNICIPAL-COUNCIL-2026-BUDGET.pdf|2026|02|Fees and Charges|051|Farm produce Fee|2027|283933
MAZABUKA-MUNICIPAL-COUNCIL-2026-BUDGET.pdf|2026|02|Fees and Charges|051|Farm produce Fee|2028|303808
MAZABUKA-MUNICIPAL-COUNCIL-2026-BUDGET.pdf|2026|02|Fees and Charges|053|Certification of documents|2026|3600
MAZABUKA-MUNICIPAL-COUNCIL-2026-BUDGET.pdf|2026|02|Fees and Charges|053|Certification of documents|2027|3816
MAZABUKA-MUNICIPAL-COUNCIL-2026-BUDGET.pdf|2026|02|Fees and Charges|053|Certification of documents|2028|4083
MAZABUKA-MUNICIPAL-COUNCIL-2026-BUDGET.pdf|2026|02|Fees and Charges|059|Land Record|2026|10000
MAZABUKA-MUNICIPAL-COUNCIL-2026-BUDGET.pdf|2026|02|Fees and Charges|059|Land Record|2027|10600
MAZABUKA-MUNICIPAL-COUNCIL-2026-BUDGET.pdf|2026|02|Fees and Charges|059|Land Record|2028|11342
MAZABUKA-MUNICIPAL-COUNCIL-2026-BUDGET.pdf|2026|02|Fees and Charges|063|Billboards and banners|2026|222650
MAZABUKA-MUNICIPAL-COUNCIL-2026-BUDGET.pdf|2026|02|Fees and Charges|063|Billboards and banners|2027|236009
MAZABUKA-MUNICIPAL-COUNCIL-2026-BUDGET.pdf|2026|02|Fees and Charges|063|Billboards and banners|2028|252529
MAZABUKA-MUNICIPAL-COUNCIL-2026-BUDGET.pdf|2026|02|Fees and Charges|064|Hire of Transport and Equipment|2026|492713
MAZABUKA-MUNICIPAL-COUNCIL-2026-BUDGET.pdf|2026|02|Fees and Charges|064|Hire of Transport and Equipment|2027|522276
MAZABUKA-MUNICIPAL-COUNCIL-2026-BUDGET.pdf|2026|02|Fees and Charges|064|Hire of Transport and Equipment|2028|558835
MAZABUKA-MUNICIPAL-COUNCIL-2026-BUDGET.pdf|2026|02|Fees and Charges|066|Penalties|2026|50000
MAZABUKA-MUNICIPAL-COUNCIL-2026-BUDGET.pdf|2026|02|Fees and Charges|066|Penalties|2027|53000
MAZABUKA-MUNICIPAL-COUNCIL-2026-BUDGET.pdf|2026|02|Fees and Charges|066|Penalties|2028|56710
MAZABUKA-MUNICIPAL-COUNCIL-2026-BUDGET.pdf|2026|02|Fees and Charges|099|Other fees and charges|2026|237250
MAZABUKA-MUNICIPAL-COUNCIL-2026-BUDGET.pdf|2026|02|Fees and Charges|099|Other fees and charges|2027|251485
MAZABUKA-MUNICIPAL-COUNCIL-2026-BUDGET.pdf|2026|02|Fees and Charges|099|Other fees and charges|2028|269089
MAZABUKA-MUNICIPAL-COUNCIL-2026-BUDGET.pdf|2026|03|Licenses|001|Occupancy licence|2026|87600
MAZABUKA-MUNICIPAL-COUNCIL-2026-BUDGET.pdf|2026|03|Licenses|001|Occupancy licence|2027|92856
MAZABUKA-MUNICIPAL-COUNCIL-2026-BUDGET.pdf|2026|03|Licenses|001|Occupancy licence|2028|99356
MAZABUKA-MUNICIPAL-COUNCIL-2026-BUDGET.pdf|2026|03|Licenses|002|Liquor licence|2026|24000
MAZABUKA-MUNICIPAL-COUNCIL-2026-BUDGET.pdf|2026|03|Licenses|002|Liquor licence|2027|25440
MAZABUKA-MUNICIPAL-COUNCIL-2026-BUDGET.pdf|2026|03|Licenses|002|Liquor licence|2028|27221
MAZABUKA-MUNICIPAL-COUNCIL-2026-BUDGET.pdf|2026|03|Licenses|003|Firearm and ammunition licence|2026|72750
MAZABUKA-MUNICIPAL-COUNCIL-2026-BUDGET.pdf|2026|03|Licenses|003|Firearm and ammunition licence|2027|77115
MAZABUKA-MUNICIPAL-COUNCIL-2026-BUDGET.pdf|2026|03|Licenses|003|Firearm and ammunition licence|2028|82513
MAZABUKA-MUNICIPAL-COUNCIL-2026-BUDGET.pdf|2026|03|Licenses|004|Petroleum Storage licence|2026|269836
MAZABUKA-MUNICIPAL-COUNCIL-2026-BUDGET.pdf|2026|03|Licenses|004|Petroleum Storage licence|2027|286026
MAZABUKA-MUNICIPAL-COUNCIL-2026-BUDGET.pdf|2026|03|Licenses|004|Petroleum Storage licence|2028|306048
MAZABUKA-MUNICIPAL-COUNCIL-2026-BUDGET.pdf|2026|03|Licenses|005|Dog licence|2026|14000
MAZABUKA-MUNICIPAL-COUNCIL-2026-BUDGET.pdf|2026|03|Licenses|005|Dog licence|2027|14840
MAZABUKA-MUNICIPAL-COUNCIL-2026-BUDGET.pdf|2026|03|Licenses|005|Dog licence|2028|15879
MAZABUKA-MUNICIPAL-COUNCIL-2026-BUDGET.pdf|2026|04|Levies|001|Livestock Movement levy|2026|126000
MAZABUKA-MUNICIPAL-COUNCIL-2026-BUDGET.pdf|2026|04|Levies|001|Livestock Movement levy|2027|133560
MAZABUKA-MUNICIPAL-COUNCIL-2026-BUDGET.pdf|2026|04|Levies|001|Livestock Movement levy|2028|142909
MAZABUKA-MUNICIPAL-COUNCIL-2026-BUDGET.pdf|2026|04|Levies|002|Birds levy|2026|3636
MAZABUKA-MUNICIPAL-COUNCIL-2026-BUDGET.pdf|2026|04|Levies|002|Birds levy|2027|3854
MAZABUKA-MUNICIPAL-COUNCIL-2026-BUDGET.pdf|2026|04|Levies|002|Birds levy|2028|4124
MAZABUKA-MUNICIPAL-COUNCIL-2026-BUDGET.pdf|2026|04|Levies|003|Fish levy|2026|250450
MAZABUKA-MUNICIPAL-COUNCIL-2026-BUDGET.pdf|2026|04|Levies|003|Fish levy|2027|265477
MAZABUKA-MUNICIPAL-COUNCIL-2026-BUDGET.pdf|2026|04|Levies|003|Fish levy|2028|284060
MAZABUKA-MUNICIPAL-COUNCIL-2026-BUDGET.pdf|2026|04|Levies|004|Pole levy|2026|12000
MAZABUKA-MUNICIPAL-COUNCIL-2026-BUDGET.pdf|2026|04|Levies|004|Pole levy|2027|12720
MAZABUKA-MUNICIPAL-COUNCIL-2026-BUDGET.pdf|2026|04|Levies|004|Pole levy|2028|13610
MAZABUKA-MUNICIPAL-COUNCIL-2026-BUDGET.pdf|2026|04|Levies|006|Sand levy|2026|12000
MAZABUKA-MUNICIPAL-COUNCIL-2026-BUDGET.pdf|2026|04|Levies|006|Sand levy|2027|12720
MAZABUKA-MUNICIPAL-COUNCIL-2026-BUDGET.pdf|2026|04|Levies|006|Sand levy|2028|13610
MAZABUKA-MUNICIPAL-COUNCIL-2026-BUDGET.pdf|2026|04|Levies|011|Telecommunication Mast|2026|161500
MAZABUKA-MUNICIPAL-COUNCIL-2026-BUDGET.pdf|2026|04|Levies|011|Telecommunication Mast|2027|171190
MAZABUKA-MUNICIPAL-COUNCIL-2026-BUDGET.pdf|2026|04|Levies|011|Telecommunication Mast|2028|183173
MAZABUKA-MUNICIPAL-COUNCIL-2026-BUDGET.pdf|2026|04|Levies|012|Cane Levy|2026|6923154
MAZABUKA-MUNICIPAL-COUNCIL-2026-BUDGET.pdf|2026|04|Levies|012|Cane Levy|2027|7338544
MAZABUKA-MUNICIPAL-COUNCIL-2026-BUDGET.pdf|2026|04|Levies|012|Cane Levy|2028|7852242
MAZABUKA-MUNICIPAL-COUNCIL-2026-BUDGET.pdf|2026|04|Levies|017|Trading (Wholesale) Business Levy|2026|18670
MAZABUKA-MUNICIPAL-COUNCIL-2026-BUDGET.pdf|2026|04|Levies|017|Trading (Wholesale) Business Levy|2027|19790
MAZABUKA-MUNICIPAL-COUNCIL-2026-BUDGET.pdf|2026|04|Levies|017|Trading (Wholesale) Business Levy|2028|21176
MAZABUKA-MUNICIPAL-COUNCIL-2026-BUDGET.pdf|2026|04|Levies|018|Trading (Retail) Consumable groceries business|2026|812312
MAZABUKA-MUNICIPAL-COUNCIL-2026-BUDGET.pdf|2026|04|Levies|018|Trading (Retail) Consumable groceries business|2027|861051
MAZABUKA-MUNICIPAL-COUNCIL-2026-BUDGET.pdf|2026|04|Levies|018|Trading (Retail) Consumable groceries business|2028|921325
MAZABUKA-MUNICIPAL-COUNCIL-2026-BUDGET.pdf|2026|04|Levies|021|Manufacturing|2026|15000
MAZABUKA-MUNICIPAL-COUNCIL-2026-BUDGET.pdf|2026|04|Levies|021|Manufacturing|2027|15900
MAZABUKA-MUNICIPAL-COUNCIL-2026-BUDGET.pdf|2026|04|Levies|021|Manufacturing|2028|17013
MAZABUKA-MUNICIPAL-COUNCIL-2026-BUDGET.pdf|2026|04|Levies|022|Agent Consumables|2026|12888
MAZABUKA-MUNICIPAL-COUNCIL-2026-BUDGET.pdf|2026|04|Levies|022|Agent Consumables|2027|13661
MAZABUKA-MUNICIPAL-COUNCIL-2026-BUDGET.pdf|2026|04|Levies|022|Agent Consumables|2028|14618
MAZABUKA-MUNICIPAL-COUNCIL-2026-BUDGET.pdf|2026|04|Levies|023|Agent non-Consumables|2026|72907
MAZABUKA-MUNICIPAL-COUNCIL-2026-BUDGET.pdf|2026|04|Levies|023|Agent non-Consumables|2027|77281
MAZABUKA-MUNICIPAL-COUNCIL-2026-BUDGET.pdf|2026|04|Levies|023|Agent non-Consumables|2028|82691
MAZABUKA-MUNICIPAL-COUNCIL-2026-BUDGET.pdf|2026|04|Levies|026|Hawker|2026|2224
MAZABUKA-MUNICIPAL-COUNCIL-2026-BUDGET.pdf|2026|04|Levies|026|Hawker|2027|2357
MAZABUKA-MUNICIPAL-COUNCIL-2026-BUDGET.pdf|2026|04|Levies|026|Hawker|2028|2522
MAZABUKA-MUNICIPAL-COUNCIL-2026-BUDGET.pdf|2026|04|Levies|028|Filling Station|2026|20000
MAZABUKA-MUNICIPAL-COUNCIL-2026-BUDGET.pdf|2026|04|Levies|028|Filling Station|2027|21200
MAZABUKA-MUNICIPAL-COUNCIL-2026-BUDGET.pdf|2026|04|Levies|028|Filling Station|2028|22684
MAZABUKA-MUNICIPAL-COUNCIL-2026-BUDGET.pdf|2026|04|Levies|029|Professional Occupation|2026|13332
MAZABUKA-MUNICIPAL-COUNCIL-2026-BUDGET.pdf|2026|04|Levies|029|Professional Occupation|2027|14132
MAZABUKA-MUNICIPAL-COUNCIL-2026-BUDGET.pdf|2026|04|Levies|029|Professional Occupation|2028|15121
MAZABUKA-MUNICIPAL-COUNCIL-2026-BUDGET.pdf|2026|04|Levies|030|Scrap Metal Dealers|2026|22224
MAZABUKA-MUNICIPAL-COUNCIL-2026-BUDGET.pdf|2026|04|Levies|030|Scrap Metal Dealers|2027|23557
MAZABUKA-MUNICIPAL-COUNCIL-2026-BUDGET.pdf|2026|04|Levies|030|Scrap Metal Dealers|2028|25206
MAZABUKA-MUNICIPAL-COUNCIL-2026-BUDGET.pdf|2026|04|Levies|031|Car Wash|2026|16000
MAZABUKA-MUNICIPAL-COUNCIL-2026-BUDGET.pdf|2026|04|Levies|031|Car Wash|2027|16960
MAZABUKA-MUNICIPAL-COUNCIL-2026-BUDGET.pdf|2026|04|Levies|031|Car Wash|2028|18147
MAZABUKA-MUNICIPAL-COUNCIL-2026-BUDGET.pdf|2026|04|Levies|032|Hospitality|2026|60000
MAZABUKA-MUNICIPAL-COUNCIL-2026-BUDGET.pdf|2026|04|Levies|032|Hospitality|2027|63600
MAZABUKA-MUNICIPAL-COUNCIL-2026-BUDGET.pdf|2026|04|Levies|032|Hospitality|2028|68052
MAZABUKA-MUNICIPAL-COUNCIL-2026-BUDGET.pdf|2026|04|Levies|033|Commercial Banks|2026|45000
MAZABUKA-MUNICIPAL-COUNCIL-2026-BUDGET.pdf|2026|04|Levies|033|Commercial Banks|2027|47700
MAZABUKA-MUNICIPAL-COUNCIL-2026-BUDGET.pdf|2026|04|Levies|033|Commercial Banks|2028|51039
MAZABUKA-MUNICIPAL-COUNCIL-2026-BUDGET.pdf|2026|04|Levies|034|Micro- Finance and Money-Lenders|2026|20000
MAZABUKA-MUNICIPAL-COUNCIL-2026-BUDGET.pdf|2026|04|Levies|034|Micro- Finance and Money-Lenders|2027|21200
MAZABUKA-MUNICIPAL-COUNCIL-2026-BUDGET.pdf|2026|04|Levies|034|Micro- Finance and Money-Lenders|2028|22684
MAZABUKA-MUNICIPAL-COUNCIL-2026-BUDGET.pdf|2026|05|Permits|001|Health permits|2026|789150
MAZABUKA-MUNICIPAL-COUNCIL-2026-BUDGET.pdf|2026|05|Permits|001|Health permits|2027|836499
MAZABUKA-MUNICIPAL-COUNCIL-2026-BUDGET.pdf|2026|05|Permits|001|Health permits|2028|895054
MAZABUKA-MUNICIPAL-COUNCIL-2026-BUDGET.pdf|2026|05|Permits|003|Herbalist permit|2026|1500
MAZABUKA-MUNICIPAL-COUNCIL-2026-BUDGET.pdf|2026|05|Permits|003|Herbalist permit|2027|1590
MAZABUKA-MUNICIPAL-COUNCIL-2026-BUDGET.pdf|2026|05|Permits|003|Herbalist permit|2028|1701
MAZABUKA-MUNICIPAL-COUNCIL-2026-BUDGET.pdf|2026|05|Permits|004|Transportation of milk products|2026|1000
MAZABUKA-MUNICIPAL-COUNCIL-2026-BUDGET.pdf|2026|05|Permits|004|Transportation of milk products|2027|1060
MAZABUKA-MUNICIPAL-COUNCIL-2026-BUDGET.pdf|2026|05|Permits|004|Transportation of milk products|2028|1134
MAZABUKA-MUNICIPAL-COUNCIL-2026-BUDGET.pdf|2026|05|Permits|005|Transportation of meat products|2026|27000
MAZABUKA-MUNICIPAL-COUNCIL-2026-BUDGET.pdf|2026|05|Permits|005|Transportation of meat products|2027|28620
MAZABUKA-MUNICIPAL-COUNCIL-2026-BUDGET.pdf|2026|05|Permits|005|Transportation of meat products|2028|30623
MAZABUKA-MUNICIPAL-COUNCIL-2026-BUDGET.pdf|2026|05|Permits|006|Transportation of opaque beer|2026|30800
MAZABUKA-MUNICIPAL-COUNCIL-2026-BUDGET.pdf|2026|05|Permits|006|Transportation of opaque beer|2027|32648
MAZABUKA-MUNICIPAL-COUNCIL-2026-BUDGET.pdf|2026|05|Permits|006|Transportation of opaque beer|2028|34933
MAZABUKA-MUNICIPAL-COUNCIL-2026-BUDGET.pdf|2026|05|Permits|008|Burial permits and grave sites|2026|75900
MAZABUKA-MUNICIPAL-COUNCIL-2026-BUDGET.pdf|2026|05|Permits|008|Burial permits and grave sites|2027|80454
MAZABUKA-MUNICIPAL-COUNCIL-2026-BUDGET.pdf|2026|05|Permits|008|Burial permits and grave sites|2028|86086
MAZABUKA-MUNICIPAL-COUNCIL-2026-BUDGET.pdf|2026|05|Permits|009|Fire certificate|2026|656535
MAZABUKA-MUNICIPAL-COUNCIL-2026-BUDGET.pdf|2026|05|Permits|009|Fire certificate|2027|695927
MAZABUKA-MUNICIPAL-COUNCIL-2026-BUDGET.pdf|2026|05|Permits|009|Fire certificate|2028|744642
MAZABUKA-MUNICIPAL-COUNCIL-2026-BUDGET.pdf|2026|05|Permits|010|Extension of Business hours permits|2026|4000
MAZABUKA-MUNICIPAL-COUNCIL-2026-BUDGET.pdf|2026|05|Permits|010|Extension of Business hours permits|2027|4240
MAZABUKA-MUNICIPAL-COUNCIL-2026-BUDGET.pdf|2026|05|Permits|010|Extension of Business hours permits|2028|4537
MAZABUKA-MUNICIPAL-COUNCIL-2026-BUDGET.pdf|2026|05|Permits|011|Social gathering permit|2026|6300
MAZABUKA-MUNICIPAL-COUNCIL-2026-BUDGET.pdf|2026|05|Permits|011|Social gathering permit|2027|6678
MAZABUKA-MUNICIPAL-COUNCIL-2026-BUDGET.pdf|2026|05|Permits|011|Social gathering permit|2028|7145
MAZABUKA-MUNICIPAL-COUNCIL-2026-BUDGET.pdf|2026|06|Charges|001|Service Charges Residential plots|2026|16063400
MAZABUKA-MUNICIPAL-COUNCIL-2026-BUDGET.pdf|2026|06|Charges|001|Service Charges Residential plots|2027|17027204
MAZABUKA-MUNICIPAL-COUNCIL-2026-BUDGET.pdf|2026|06|Charges|001|Service Charges Residential plots|2028|18219108
MAZABUKA-MUNICIPAL-COUNCIL-2026-BUDGET.pdf|2026|06|Charges|004|Premium Plot Commercial|2026|750000
MAZABUKA-MUNICIPAL-COUNCIL-2026-BUDGET.pdf|2026|06|Charges|004|Premium Plot Commercial|2027|795000
MAZABUKA-MUNICIPAL-COUNCIL-2026-BUDGET.pdf|2026|06|Charges|004|Premium Plot Commercial|2028|850650
MAZABUKA-MUNICIPAL-COUNCIL-2026-BUDGET.pdf|2026|06|Charges|099|Land Charges|2026|320500
MAZABUKA-MUNICIPAL-COUNCIL-2026-BUDGET.pdf|2026|06|Charges|099|Land Charges|2027|339730
MAZABUKA-MUNICIPAL-COUNCIL-2026-BUDGET.pdf|2026|06|Charges|099|Land Charges|2028|363511
MAZABUKA-MUNICIPAL-COUNCIL-2026-BUDGET.pdf|2026|07|Other Incomes|002|Surplus/ Deficit from Commercial Ventures|2026|232150
MAZABUKA-MUNICIPAL-COUNCIL-2026-BUDGET.pdf|2026|07|Other Incomes|002|Surplus/ Deficit from Commercial Ventures|2027|246079
MAZABUKA-MUNICIPAL-COUNCIL-2026-BUDGET.pdf|2026|07|Other Incomes|002|Surplus/ Deficit from Commercial Ventures|2028|263305
MAZABUKA-MUNICIPAL-COUNCIL-2026-BUDGET.pdf|2026|08|National Support (Grants)|001|Constituency Development Fund|2026|80065099
MAZABUKA-MUNICIPAL-COUNCIL-2026-BUDGET.pdf|2026|08|National Support (Grants)|001|Constituency Development Fund|2027|84803450
MAZABUKA-MUNICIPAL-COUNCIL-2026-BUDGET.pdf|2026|08|National Support (Grants)|001|Constituency Development Fund|2028|90739692
MAZABUKA-MUNICIPAL-COUNCIL-2026-BUDGET.pdf|2026|08|National Support (Grants)|002|Roads Grant|2026|6351370
MAZABUKA-MUNICIPAL-COUNCIL-2026-BUDGET.pdf|2026|08|National Support (Grants)|002|Roads Grant|2027|6732453
MAZABUKA-MUNICIPAL-COUNCIL-2026-BUDGET.pdf|2026|08|National Support (Grants)|002|Roads Grant|2028|7203724
MAZABUKA-MUNICIPAL-COUNCIL-2026-BUDGET.pdf|2026|08|National Support (Grants)|003|Health Grant|2026|4083257
MAZABUKA-MUNICIPAL-COUNCIL-2026-BUDGET.pdf|2026|08|National Support (Grants)|003|Health Grant|2027|4328252
MAZABUKA-MUNICIPAL-COUNCIL-2026-BUDGET.pdf|2026|08|National Support (Grants)|003|Health Grant|2028|4631230
MAZABUKA-MUNICIPAL-COUNCIL-2026-BUDGET.pdf|2026|08|National Support (Grants)|004|Local Government Equalisation Fund|2026|18122434
MAZABUKA-MUNICIPAL-COUNCIL-2026-BUDGET.pdf|2026|08|National Support (Grants)|004|Local Government Equalisation Fund|2027|18122434
MAZABUKA-MUNICIPAL-COUNCIL-2026-BUDGET.pdf|2026|08|National Support (Grants)|004|Local Government Equalisation Fund|2028|18122434
MAZABUKA-MUNICIPAL-COUNCIL-2026-BUDGET.pdf|2026|08|National Support (Grants)|005|Grants in lieu of Rates|2026|220000
MAZABUKA-MUNICIPAL-COUNCIL-2026-BUDGET.pdf|2026|08|National Support (Grants)|005|Grants in lieu of Rates|2027|233200
MAZABUKA-MUNICIPAL-COUNCIL-2026-BUDGET.pdf|2026|08|National Support (Grants)|005|Grants in lieu of Rates|2028|249524
MAZABUKA-MUNICIPAL-COUNCIL-2026-BUDGET.pdf|2026|08|National Support (Grants)|099|Other Grants|2026|28445328
MAZABUKA-MUNICIPAL-COUNCIL-2026-BUDGET.pdf|2026|08|National Support (Grants)|099|Other Grants|2027|30152048
MAZABUKA-MUNICIPAL-COUNCIL-2026-BUDGET.pdf|2026|08|National Support (Grants)|099|Other Grants|2028|32262691
MAZABUKA-MUNICIPAL-COUNCIL-2026-BUDGET.pdf|2026|09|Donor Support (Grants)|001|Devolution Capital Grant|2026|12292683
MAZABUKA-MUNICIPAL-COUNCIL-2026-BUDGET.pdf|2026|09|Donor Support (Grants)|001|Devolution Capital Grant|2027|13030244
MAZABUKA-MUNICIPAL-COUNCIL-2026-BUDGET.pdf|2026|09|Donor Support (Grants)|001|Devolution Capital Grant|2028|13942361
